date;axe;depart;arrivee;trains_programmes;trains_circules;trains_annules;trains_retards;regularite
2011-01;Paris-Lyon;Paris Gare de Lyon;Lyon Part-Dieu;180;175;2;9;94.44
2011-01;Paris-Lyon;Paris Gare de Lyon;Lyon Perrache;95;92;1;4;95.65
2011-02;Paris-Lyon;Paris Gare de Lyon;Lyon Part-Dieu;165;160;2;8;95.0
2011-02;Paris-Lyon;Paris Gare de Lyon;Lyon Perrache;87;85;1;3;96.55
2011-03;Paris-Lyon;Paris Gare de Lyon;Lyon Part-Dieu;175;171;2;7;95.35
2011-03;Paris-Lyon;Paris Gare de Lyon;Lyon Perrache;92;89;1;3;96.63
2011-04;Paris-Lyon;Paris Gare de Lyon;Lyon Part-Dieu;170;165;2;6;95.29
2011-04;Paris-Lyon;Paris Gare de Lyon;Lyon Perrache;89;87;1;2;97.74
2011-05;Paris-Lyon;Paris Gare de Lyon;Lyon Part-Dieu;185;180;2;5;95.45
2011-05;Paris-Lyon;Paris Gare de Lyon;Lyon Perrache;97;94;1;2;97.87
2011-06;Paris-Marseille;Paris Gare de Lyon;Marseille Saint-Charles;130;125;2;5;95.24
2011-06;Paris-Marseille;Paris Gare de Lyon;Marseille Saint-Charles;128;123;2;4;96.09
2011-07;Paris-Marseille;Paris Gare de Lyon;Marseille Saint-Charles;145;140;2;6;95.17
2011-07;Paris-Marseille;Paris Gare de Lyon;Marseille Saint-Charles;142;137;2;5;96.48
2011-08;Paris-Marseille;Paris Gare de Lyon;Marseille Saint-Charles;150;144;3;7;94.67
2011-08;Paris-Marseille;Paris Gare de Lyon;Marseille Saint-Charles;148;142;3;6;95.95
2011-09;Bordeaux-Paris;Bordeaux Saint-Jean;Paris Gare de Lyon;140;134;2;6;95.77
2011-09;Bordeaux-Paris;Bordeaux Saint-Jean;Paris Gare de Lyon;138;133;2;5;96.37
2011-10;Bordeaux-Paris;Bordeaux Saint-Jean;Paris Gare de Lyon;142;136;2;5;96.32
2011-10;Bordeaux-Paris;Bordeaux Saint-Jean;Paris Gare de Lyon;140;134;2;4;97.06
2011-11;Nantes-Paris;Nantes;Paris Montparnasse;120;115;2;5;95.83
2011-11;Nantes-Paris;Nantes;Paris Montparnasse;118;113;2;4;96.61
2011-12;Nantes-Paris;Nantes;Paris Montparnasse;125;120;2;4;96.8
2011-12;Nantes-Paris;Nantes;Paris Montparnasse;123;118;2;3;97.56
2012-01;Paris-Lyon;Paris Gare de Lyon;Lyon Part-Dieu;170;165;2;4;96.47
2012-01;Paris-Lyon;Paris Gare de Lyon;Lyon Perrache;90;88;1;2;97.78
2012-02;Paris-Lyon;Paris Gare de Lyon;Lyon Part-Dieu;165;160;2;5;96.0
2012-02;Paris-Lyon;Paris Gare de Lyon;Lyon Perrache;87;85;1;3;96.55
2012-03;Paris-Marseille;Paris Gare de Lyon;Marseille Saint-Charles;135;130;2;5;96.15
2012-03;Paris-Marseille;Paris Gare de Lyon;Marseille Saint-Charles;133;128;2;4;97.0
2012-04;Paris-Marseille;Paris Gare de Lyon;Marseille Saint-Charles;148;143;2;6;95.95
2012-04;Paris-Marseille;Paris Gare de Lyon;Marseille Saint-Charles;146;141;2;5;96.58
2012-05;Bordeaux-Paris;Bordeaux Saint-Jean;Paris Gare de Lyon;145;140;2;5;96.55
2012-05;Bordeaux-Paris;Bordeaux Saint-Jean;Paris Gare de Lyon;143;138;2;4;97.18
2012-06;Bordeaux-Paris;Bordeaux Saint-Jean;Paris Gare de Lyon;148;142;2;5;96.76
2012-06;Bordeaux-Paris;Bordeaux Saint-Jean;Paris Gare de Lyon;146;140;2;4;97.26
2012-07;Nantes-Paris;Nantes;Paris Montparnasse;130;125;2;5;96.15
2012-07;Nantes-Paris;Nantes;Paris Montparnasse;128;123;2;4;96.88
2012-08;Nantes-Paris;Nantes;Paris Montparnasse;135;130;2;4;96.92
2012-08;Nantes-Paris;Nantes;Paris Montparnasse;133;128;2;3;97.74
2012-09;Paris-Lyon;Paris Gare de Lyon;Lyon Part-Dieu;175;170;2;5;96.43
2012-09;Paris-Lyon;Paris Gare de Lyon;Lyon Perrache;92;89;1;2;97.75
2012-10;Paris-Lyon;Paris Gare de Lyon;Lyon Part-Dieu;172;167;2;4;96.51
2012-10;Paris-Lyon;Paris Gare de Lyon;Lyon Perrache;91;88;1;2;97.73
2012-11;Paris-Marseille;Paris Gare de Lyon;Marseille Saint-Charles;140;135;2;6;95.71
2012-11;Paris-Marseille;Paris Gare de Lyon;Marseille Saint-Charles;138;133;2;5;96.38
2012-12;Paris-Marseille;Paris Gare de Lyon;Marseille Saint-Charles;145;140;2;5;96.55
2012-12;Paris-Marseille;Paris Gare de Lyon;Marseille Saint-Charles;143;138;2;4;97.20
